id,property_description,area_jhb,listing_agency,rental_amount,street_address,occupation_date,Bedrooms_1,Bedrooms_2,bathrooms,area,Feature_1,Feature_2
20191091,"R 3 780 120 End Street , New Doornfontein 1 Bedroom Apartment / Flat to Rent in New Doornfontein No deposit! The building situated at 120 End Street, Doornfontein, offers residential and retail splendour. The building comprises 925 apartments and many ... 1 | 1",1 Bedroom Apartment / flat to rent in New Doornfontein - Johannesburg, AFHCO Africa Housing Company,R 3 780,"120 End Street , New Doornfontein",,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in New Doornfontein,
20191092,"R 3 840 188 Church Street, Kenilworth 1 Bedroom Apartment / Flat to Rent in Kenilworth Lovely spacious 1 bedroom apartment to rent in a quite and well kept building. Lovely wooden parquet ... Available: 08 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Kenilworth - Johannesburg, Framework Property Services,R 3 840,"188 Church Street, Kenilworth",Available: 08 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Kenilworth,
20191093,R 15 000 3 Bedroom Townhouse to Rent in Birnam Respond to this advert online. Book into a viewing from your email. Meet the landlord at the ... Available: 01 May 2019 3 | 3 Erf Size: 125 m², Beds, Bathrooms,,, ,3,125 m²,,,Available: 01 May 2019,
20191094,"R 15 000 125 Ruthland Road, Craighall Park Townhouse to Rent in Craighall Park Modern Townhouse as stylish as they come offering delightful spacious accommodation where peace and ... Available: 01 May 2019 Floor Size: 94 m²", ,Townhouse to rent in Craighall Park - Johannesburg,Available: 01 May 2019,,,,,,,,
20191095,R 23 000 1 Bedroom Apartment / Flat to Rent in Houghton Estate The Houghton was created for people who have earned the right to demand more from life – a place where the option of casual and luxury meld into one. The ... 1 | 1,1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Infinity Realty Group,R 23 000,,,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20191096,"R 7 500 1 Bedroom Apartment / Flat to Rent in Houghton Estate The complex has a park-like design with lots of open spaces, ideal as a large play area for children. There ... Available: 10 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Rowcor Properties Eleanor Jacobs,R 7 500,,Available: 10 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20191097,"R 25 000 1 Bedroom Apartment / Flat to Rent in Melrose Arch High ceilings, covered terrace with fold away shutters opening onto garden and pool. Experience a scene of grandiose with high ceilings windows doors and ... 1 | 1 Floor Size: 97 m²",1 Bedroom Apartment / flat to rent in Melrose Arch - Johannesburg, Pam Golding Properties - Gauteng Projects,R 25 000,,,Beds,1,1 | 1, Floor Size: 97 m²,1 Bedroom Apartment / Flat to Rent in Melrose Arch,97 m²
20191098,R 5 247 1 Bedroom Apartment / Flat to Rent in Turffontein Make this two bedroom flat your home. Dont delay viewing your new home. Lock up and go in this secure and ... Available: 01 April 2019 1 | 1 | 1 Floor Size: 80 m²,1 Bedroom Apartment / flat to rent in Turffontein - Johannesburg, Trafalgar Property Management,R 5 247,,Available: 01 April 2019,Beds,1,1,80 m²,1 Bedroom Apartment / Flat to Rent in Turffontein,
20191099,"R 12 500 00 Panorama Gardens, 70 Soetdoring Avenue, Bassonia 3 Bedroom Townhouse to Rent in Bassonia AVAILABLE IMMEDIATELY 3 Bedrooms, 3.5 Bathrooms Double Automated Garage Plus Domestic Quarters and a ... Available: 04 February 2019 3 | 3.5 | 2 Erf Size: 8 002 m²",3 Bedroom Townhouse to rent in Bassonia - Johannesburg, Lencar Exclusive Properties,R 12 500,"00 Panorama Gardens, 70 Soetdoring Avenue, Bassonia",Available: 04 February 2019,Beds,3,3.5,8 002 m²,3 Bedroom Townhouse to Rent in Bassonia,
20191100,"R 8 000 3 Bedroom Townhouse to Rent in Linmeyer johannesburg linmeyer cluster to rent,this lovely unit offers three bedrooms,one full bathroom. open plan ... Available: 26 March 2019 3 | 1",3 Bedroom Townhouse to rent in Linmeyer - Johannesburg, Property.CoZa - Johannesburg South,R 8 000,,Available: 26 March 2019,Beds,3,1,,3 Bedroom Townhouse to Rent in Linmeyer,
20191101,"R 5 800 00 Ormonde View Estates, 24 Nasrec Road, Aeroton 2 Bedroom Townhouse to Rent in Aeroton This is a neat unit on the ground floor offering you two well-sized bedrooms, lounge, open plan kitchen, full ... Available: 30 January 2019 2 | 1 Erf Size: 32 599 m²",2 Bedroom Townhouse to rent in Aeroton - Johannesburg, Lencar Exclusive Properties,R 5 800,"00 Ormonde View Estates, 24 Nasrec Road, Aeroton",Available: 30 January 2019,Beds,2,1,32 599 m²,2 Bedroom Townhouse to Rent in Aeroton,
20191102,"R 32 000 2 Bedroom Apartment / Flat to Rent in Melrose Estate Melrose Estate, Johannesburg A unique, charming apartment situated in the heart of Melrose estate. Ultra ... Available: 12 April 2019 2 | 2",2 Bedroom Apartment / flat to rent in Melrose Estate - Johannesburg, Hamiltons Property Portfolio,R 32 000,,Available: 12 April 2019,Beds,2,2,,2 Bedroom Apartment / Flat to Rent in Melrose Estate,
20191103,"R 25 000 20 Avonwold, Saxonwold 2 Bedroom Townhouse to Rent in Saxonwold Think secure, established and stunning! Nestled amongst the tree tops in Saxonwold this home is stylish and ... Available: 01 April 2019 2 | 2",2 Bedroom Townhouse to rent in Saxonwold - Johannesburg, Tyson Properties Fourways,R 25 000,"20 Avonwold, Saxonwold",Available: 01 April 2019,Beds,2,2,,2 Bedroom Townhouse to Rent in Saxonwold,
20191104,R 4 000 1 Bedroom Apartment / Flat to Rent in Sophiatown 1 Bedroom with built-in cupboards 1 Bathroom with bath 1 Lounge Big modern kitchen with plenty of built-in ... Available: 01 April 2019 1 | 1, Beds, Bathrooms,,, ,1,,,,Available: 01 April 2019,
20191105,R 4 000 1 Bedroom Apartment / Flat to Rent in Sophiatown 1 Bedroom with built-in cupboards 1 Bathroom with bath 1 Lounge Big modern kitchen with plenty of built-in ... Available: 01 April 2019 1 | 1, Beds, Bathrooms,,, ,1,,,,Available: 01 April 2019,
20191106,R 6 500 2 Bedroom Townhouse to Rent in Ormonde Stunning Unit in Ormonde View Estates. This ... Available: 01 June 2019 2 | 1 Erf Size: 53 m²,2 Bedroom Townhouse to rent in Ormonde - Johannesburg, Chas Everitt Glenvista,R 6 500,,Available: 01 June 2019,Beds,2,1,53 m²,2 Bedroom Townhouse to Rent in Ormonde,
20191107,"R 38 000 2 Bedroom Apartment / Flat to Rent in Melrose Arch With this wrap around balcony, on two sides, this apartment commands to be viewed and admired. entrance, cloakroom, 2nd bedroom and bathroom, opening into main ... 2 | 2.5 Floor Size: 125 m²",2 Bedroom Apartment / flat to rent in Melrose Arch - Johannesburg, Pam Golding Properties - Melrose Arch Letting,R 38 000,,,Beds,2,2 | 2.5, Floor Size: 125 m²,2 Bedroom Apartment / Flat to Rent in Melrose Arch,125 m²
20191108,"R 5 500 1 Duinoord, Meredale 2 Bedroom Apartment / Flat to Rent in Meredale No deposit required!!! This well-maintained complex with manicured garden in a modern complex with great ... Available: 01 May 2019 2 | 1",2 Bedroom Apartment / flat to rent in Meredale - Johannesburg, IHS Property Management,R 5 500,"1 Duinoord, Meredale",Available: 01 May 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Meredale,
20191109,"R 4 400 20 Fanous Rd, West Turffontein 2 Bedroom Apartment / Flat to Rent in West Turffontein property to rent in West Turffontein Spacious Unit 2 bedroom 1 bathroom kitchen Lounge Credit ... Available: 14 March 2019 2 | 1",2 Bedroom Apartment / flat to rent in West Turffontein - Johannesburg, Rental,R 4 400,"20 Fanous Rd, West Turffontein",Available: 14 March 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in West Turffontein,
20191110,"R 50 000 Ac 15th Street, Houghton Estate 4 Bedroom Townhouse to Rent in Houghton Estate Stylish 4 bedroom . Open plan kitchen with plenty cupboard space, Caeser stone tops and a centre ... Available: 01 May 2019 4 | 3.5 | 3",4 Bedroom Townhouse to rent in Houghton Estate - Johannesburg, Silver Property Group,R 50 000,"Ac 15th Street, Houghton Estate",Available: 01 May 2019,Beds,4,3.5,,4 Bedroom Townhouse to Rent in Houghton Estate,
20191111,"R 14 500 2 Bedroom Apartment / Flat to Rent in Killarney Unfurnished. No expense has been spared in the renovation of this gorgeous apartment. Soft touch cupboards, smart lighting, upmarket tiling, fixtures and ... 2 | 1 Floor Size: 193 m²",2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, Pam Golding Properties - Hyde Park Letting,R 14 500,,,Beds,2,2 | 1, Floor Size: 193 m²,2 Bedroom Apartment / Flat to Rent in Killarney,193 m²
20191112,"R 5 800 1 Andover Rd, Westdene 1 Bedroom Apartment / Flat to Rent in Westdene An awesome bachelor pad. Suitable for a single professional or post grad student. Close to universities ... Available: 01 March 2019 1 | 1 | 1 Floor Size: 50 m²",1 Bedroom Apartment / flat to rent in Westdene - Johannesburg, Rental,R 5 800,"1 Andover Rd, Westdene",Available: 01 March 2019,Beds,1,1,50 m²,1 Bedroom Apartment / Flat to Rent in Westdene,
20191113,R 8 900 1 Bedroom Apartment / Flat to Rent in Craighall Apartment has been newly renovated and now tiled throughout. Stunning granite top kitchen with enclosed space where you can hang your washing. Large north ... 1 | 1, Beds, Bathrooms,,, ,1 | 1, ,,,,
20191114,"R 6 100 Resolving Address..., Emmarentia 1 Bedroom Apartment / Flat to Rent in Emmarentia Semi furnished Cottage for Rent in Emmarentia. Close to mosque and botanical gardens. Equidistant to Wits ... Available: 01 April 2019 1 | 1 Erf Size: 55 m²",1 Bedroom Apartment / flat to rent in Emmarentia - Johannesburg, Rental,R 6 100,"Resolving Address..., Emmarentia",Available: 01 April 2019,Beds,1,1,55 m²,1 Bedroom Apartment / Flat to Rent in Emmarentia,
20191115,R 5 700 2 Bedroom Townhouse to Rent in Suideroord Call ''n moving company This is an outstanding opportunity. A stunning and well maintained ... Available: 01 May 2019 2 | 1 Floor Size: 62 m²,"2 Bedroom Townhouse to rent in Suideroord - Johannesburg; Just Property, Alberton; Beds; Bathrooms", ,,"Just Property, Alberton",Beds, , , ,, ,
20191116,"R 7 250 H Furn Houghton Village, 6 Boundary Road, Houghton Estate 1 Bedroom Apartment / Flat to Rent in Houghton Estate Lounge / dining area with flat screen TV, DSTV decoder (you need your own card/contract) 2 seater couch ... Available: 01 March 2019 1 | 1 | 1 Floor Size: 43 m²", Beds, Bathrooms,,, ,1,43 m²,,,Available: 01 March 2019,
20191117,"R 4 883 Maxwell Hall 96 Smal Street, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central 50% OFF 1ST MONTH RENT & NO DEPOSIT Situated in the heart of the Jhb inner-city at 96 Smal Street, the building offers spacious apartments that are ... 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, AFHCO Africa Housing Company,R 4 883,"Maxwell Hall 96 Smal Street, Johannesburg Central",,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20191118,"R 10 500 2 Bedroom Apartment / Flat to Rent in Braamfontein The Exchange: Jo'burg style loft apartments with modern fittings, 24hr security and a large green belt ... Available: 15 April 2019 2 | 1", Beds, Bathrooms,,, ,1,,,,Available: 15 April 2019,
20191119,"R 6 100 Resolving Address..., Emmarentia 1 Bedroom Apartment / Flat to Rent in Emmarentia Semi furnished Cottage for Rent in Emmarentia. Close to mosque and botanical gardens. Equidistant to Wits ... Available: 01 April 2019 1 | 1 Erf Size: 55 m²",1 Bedroom Apartment / flat to rent in Emmarentia - Johannesburg, Rental,R 6 100,"Resolving Address..., Emmarentia",Available: 01 April 2019,Beds,1,1,55 m²,1 Bedroom Apartment / Flat to Rent in Emmarentia,
20191120,"R 3 740 1 Bedroom Apartment / Flat to Rent in Berea Stunning 1 Bedroom unit available in a well maintained and secure This home boasts a lovely kitchen,bedroom ... Available: 11 March 2019 1 | 1 Floor Size: 60 m²",1 Bedroom Apartment / flat to rent in Berea - Johannesburg, Trafalgar Property Management,R 3 740,,Available: 11 March 2019,Beds,1,1,60 m²,1 Bedroom Apartment / Flat to Rent in Berea,
20191121,R 5 000 1 Bedroom Apartment / Flat to Rent in Maboneng The striking artwork of the building was designed by artist collaborator Marcus Neustetter to reflect this ... Available: 11 March 2019 1 | 1,1 Bedroom Apartment / flat to rent in Maboneng - Johannesburg, Lukhanyo Property,R 5 000,,Available: 11 March 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Maboneng,
20191122,"R 5 500 1 Duinoord, Meredale 2 Bedroom Apartment / Flat to Rent in Meredale No deposit required!!! This well-maintained complex with manicured garden in a modern complex with great ... Available: 01 May 2019 2 | 1",2 Bedroom Apartment / flat to rent in Meredale - Johannesburg, IHS Property Management,R 5 500,"1 Duinoord, Meredale",Available: 01 May 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Meredale,
20191123,"R 6 200 #218 Route 82 Security Village, 1pauk Street, Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park Move in to Route 82 and get a DEPOSIT LAY-BY Conveniently located just 15min from JHB CBD and 5 min from South Gate Mall and the brand-new Mall of the South ... 2 | 1",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 6 200,"#218 Route 82 Security Village, 1pauk Street, Kibler Park",,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20191124,R 4 345 1 Bedroom Apartment / Flat to Rent in Joubert Park This magical splendour offers a great opportunity for a young student or an upcoming executive. The unit ... Available: 04 March 2019 1 | 1 Floor Size: 76 m²,1 Bedroom Apartment / flat to rent in Joubert Park - Johannesburg, Trafalgar Property Management,R 4 345,,Available: 04 March 2019,Beds,1,1,76 m²,1 Bedroom Apartment / Flat to Rent in Joubert Park,
20191125,"R 5 900 7 Nossob St, Winchester Hills 2 Bedroom Townhouse to Rent in Winchester Hills Lovely 2 bedroom Townhouse in a sought after complex (Maldives), Unit has open plan lounge and dining room ... Available: 01 May 2019 2 | 1 Floor Size: 72 m²",2 Bedroom Townhouse to rent in Winchester Hills - Johannesburg, Rental,R 5 900,"7 Nossob St, Winchester Hills",Available: 01 May 2019,Beds,2,1,72 m²,2 Bedroom Townhouse to Rent in Winchester Hills,
20191126,"R 13 500 3 Bedroom Apartment / Flat to Rent in Linksfield Ideally located near king david school offering you no traffic ! Features : - 3 spacious bedrooms - 2 bathrooms - kitchen, appliance only 1 under counter - ... 3 | 2",3 Bedroom Apartment / flat to rent in Linksfield - Johannesburg, GD Property,R 13 500,,,Beds,3,3 | 2, ,3 Bedroom Apartment / Flat to Rent in Linksfield,
20191127,R 7 000 1 Bedroom Townhouse to Rent in Oakdene What are you waiting for? Doesn’t get any Better than This!!!! You will enjoy living in the penthouse of ... Available: 01 June 2019 1 | 1 Erf Size: 10 390 m²,"1 Bedroom Townhouse to rent in Oakdene - Johannesburg; Just Property, Alberton; Beds; Bathrooms", ,,"Just Property, Alberton",Beds, , , ,, ,
20191128,"R 20 000 3 Bedroom Townhouse to Rent in Parkview Stunning spacious, double volume loft townhouse with open planned downstairs living area including a central ... Available: 15 March 2019 3 | 2.5 | 2 Floor Size: 229 m²",3 Bedroom Townhouse to rent in Parkview - Johannesburg, Property.CoZa - Randburg,R 20 000,,Available: 15 March 2019,Beds,3,2.5,229 m²,3 Bedroom Townhouse to Rent in Parkview,
20191129,"R 3 800 80 Harrison St, Newtown 1 Bedroom Apartment / Flat to Rent in Newtown Anchor Towers is an iconic sectional title building in the heart of Newtown. It is well located relative to ... Available: 01 February 2019 1 | 1 | 1 Floor Size: 39 m²",1 Bedroom Apartment / flat to rent in Newtown - Johannesburg, Rental,R 3 800,"80 Harrison St, Newtown",Available: 01 February 2019,Beds,1,1,39 m²,1 Bedroom Apartment / Flat to Rent in Newtown,
20191130,R 5 500 1 Bedroom Apartment / Flat to Rent in Parktown North Newly Renovated Bachelors/Garden Cottage. For one person Fibre Internet and Water and Electricity ... Available: 01 April 2019 1 | 1 | 1 Floor Size: 26 m²,1 Bedroom Apartment / flat to rent in Parktown North - Johannesburg, Rental,R 5 500,,Available: 01 April 2019,Beds,1,1,26 m²,1 Bedroom Apartment / Flat to Rent in Parktown North,
20191131,"R 16 000 36 Melrose Gardens, Melrose North 3 Bedroom Apartment / Flat to Rent in Melrose North Charming 3 Bedroom unit on the 1st floor of Melrose Gardens. Parquet flooring recently redone, modern kitchen ... Available: 11 March 2019 3 | 2 | 1 Floor Size: 140 m²", Beds, Bathrooms,,, ,2,140 m²,,,Available: 11 March 2019,
20191132,"R 14 000 56 Country Lane, 1 Dorset Road, Parkwood 1 Bedroom Apartment / Flat to Rent in Parkwood This newly renovated and fully furnished unit is situated in Country Lane, Dorset Road. 5 minutes away from ... Available: 11 February 2019 1 | 1 | 1 Floor Size: 61 m²",1 Bedroom Apartment / flat to rent in Parkwood - Johannesburg, Seeff Sandton,R 14 000,"56 Country Lane, 1 Dorset Road, Parkwood",Available: 11 February 2019,Beds,1,1,61 m²,1 Bedroom Apartment / Flat to Rent in Parkwood,
20191133,R 4 671 1 Bedroom Apartment / Flat to Rent in Hillbrow A spacious 2 bedroom secured flat in Hillbrow that offers lots of space and flow to make this flat a ... Available: 11 March 2019 1 | 1 Floor Size: 60 m²,1 Bedroom Apartment / flat to rent in Hillbrow - Johannesburg, Trafalgar Property Management,R 4 671,,Available: 11 March 2019,Beds,1,1,60 m²,1 Bedroom Apartment / Flat to Rent in Hillbrow,
